"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000197408",-4.20952795404214,0.815012733979135,-12.2492168813213,9.19473850822274e-22,6.11394385108884e-19,38.9611248169581
"ENSG00000170231",-7.9864349249181,1.73010959461786,-12.0924016555064,2.01343473810953e-21,1.26230852738107e-18,38.1931051412721
"ENSG00000148483",-2.94318333301091,0.350290662130585,-11.9879881419782,3.39670255980095e-21,2.07038456304756e-18,37.6805889469905
"ENSG00000255474",-3.54962778082199,0.822068620182999,-11.9799945177644,3.53557680862879e-21,2.0967881597768e-18,37.6413155656776
"ENSG00000145832",-1.97029499587156,0.490415701102456,-11.7577538936154,1.07924730157681e-20,6.23208514171049e-18,36.5474279050317
"ENSG00000164946",-2.77621053236217,0.60266208211191,-11.7493113832384,1.12606340966237e-20,6.33569471749267e-18,36.505799198373
"ENSG00000182271",-3.45489463304086,0.236417499033124,-11.6549337784041,1.8107883286285e-20,9.9335320737738e-18,36.040084740748
"ENSG00000226453",-1.6832692721605,0.520095710113408,-11.6282097632077,2.07172850446979e-20,1.10877898959953e-17,35.9080970851457
"ENSG00000245694",4.11604109173986,4.04823840897948,11.5520732585783,3.04096876931372e-20,1.58876137392978e-17,35.5317931972457
"ENSG00000184040",-3.2510053667679,0.457161131967529,-11.4565049687596,4.92560868528066e-20,2.51354956700264e-17,35.0588946742752
"ENSG00000225953",-1.32702981852756,0.11338230924415,-11.4296472008913,5.64112715153424e-20,2.81325575195718e-17,34.9258875633436
"ENSG00000259347",-1.81020039562418,0.319682358233427,-11.4180769895476,5.9806474283332e-20,2.91629658933145e-17,34.8685744695913
"ENSG00000228113",-1.63061880301165,0.427530734274805,-11.3871342645747,6.99272397588044e-20,3.33568135223358e-17,34.7152580294067
"ENSG00000165548",-1.32892509087504,0.282964196227984,-11.3297908874954,9.34417292656407e-20,4.36253588356586e-17,34.4309734530422
"ENSG00000179841",-1.13730295407306,0.506190741830045,-11.2814259156661,1.19340433748925e-19,5.45559820365139e-17,34.1910454676992
"ENSG00000198682",-4.50957915304125,3.17423059873672,-11.1782273283855,2.01223659818264e-19,9.01112401508607e-17,33.678645679376
"ENSG00000130707",-3.56291559431043,6.63696001518512,-11.1741547055555,2.05417839345874e-19,9.01496729753303e-17,33.6584120715753
"ENSG00000182747",-1.30467982966971,0.259407633044942,-11.1655152025412,2.146075106189e-19,9.23359334413827e-17,33.6154862708529
"ENSG00000255639",-2.18470982873197,0.387649922221004,-11.1393251710277,2.4506021655983e-19,1.03410698691776e-16,33.4853349628568
"ENSG00000168229",-1.78215035187503,0.275651552730095,-11.0606319104176,3.65189370571077e-19,1.51195289781908e-16,33.0940499199038
"ENSG00000163993",8.11394436398263,9.16975702052041,11.0515374153708,3.82426905984128e-19,1.55399881444625e-16,33.0488088958637
"ENSG00000198515",-3.09626967753298,1.40295370030475,-10.8890458640362,8.72390223202032e-19,3.48051975776767e-16,32.239809327715
"ENSG00000163959",-6.80580666989352,2.55535443722405,-10.872605962258,9.48365169799123e-19,3.71606730730396e-16,32.1578917731971
"ENSG00000105784",-2.86944133329226,0.733842013427661,-10.8467500824873,1.08148620379205e-18,4.16334241575594e-16,32.0290320163752
