"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000172831",2.06326432107631,6.18833147500977,9.57262983666622,7.13661972274943e-16,2.37270979661046e-13,25.6589456522397
"ENSG00000271824",1.6742984142981,1.67868489168873,9.55922584753423,7.64128216915809e-16,2.50257693489308e-13,25.59224310851
"ENSG00000180535",-1.51755316900812,2.65443677468202,-9.53441995742646,8.67116615343813e-16,2.79810880742489e-13,25.4688094443709
"ENSG00000128849",-1.17857366273009,1.63842939566753,-9.53115368095131,8.81672860387855e-16,2.8038474747088e-13,25.4525573601125
"ENSG00000237070",1.36510590274994,1.01643296141196,9.51476255954261,9.5849113016017e-16,3.00459583844351e-13,25.3710028174024
"ENSG00000163959",2.57262027135092,2.55535443722405,9.50709933987314,9.9666514860699e-16,3.08025681068777e-13,25.332876062129
"ENSG00000118777",2.57027552680677,2.69412474929807,9.49590065455736,1.05519950599714e-15,3.21586705001323e-13,25.2771615108435
"ENSG00000174827",2.46597414219191,2.12502059713721,9.48451911305393,1.11820994971097e-15,3.36121656527504e-13,25.2205399588249
"ENSG00000147592",1.00501225932302,5.23711105589125,9.47861430680102,1.15236729095349e-15,3.41708046829627e-13,25.191165498392
"ENSG00000106031",2.3000510362155,1.44884521236853,9.47038214625274,1.20173423735502e-15,3.51595391603749e-13,25.1502145163289
"ENSG00000187908",3.85969370812078,4.85542146137109,9.46147044372814,1.25756073016223e-15,3.63087567130918e-13,25.1058848824931
"ENSG00000130707",1.29975345012023,6.63696001518512,9.42949486659401,1.48006274333223e-15,4.21779438661546e-13,24.946843739158
"ENSG00000179546",1.64277190191277,1.42132256732887,9.33501347963558,2.39477714663699e-15,6.73699934982762e-13,24.4770673473638
"ENSG00000112299",2.99879511344068,3.20988899102919,9.29217280416684,2.97842208590683e-15,8.27285010519666e-13,24.2641447946752
"ENSG00000127324",1.25046062542348,10.2269362557178,9.28935562816722,3.0214410104381e-15,8.28743501150541e-13,24.2501452528917
"ENSG00000140297",2.69661071268974,6.51672100835272,9.28654192893291,3.06502620663677e-15,8.28753379714606e-13,24.2361632565581
"ENSG00000257512",1.53253185594621,1.326969446985,9.28450222736173,3.09701395144682e-15,8.28753379714606e-13,24.2260276223626
"ENSG00000164850",-1.62581240081305,1.96786859173069,-9.27807606846368,3.19998864720804e-15,8.38909157295301e-13,24.1940958454529
"ENSG00000196196",1.39269006086453,1.93078024193026,9.27737496433788,3.21142821003533e-15,8.38909157295301e-13,24.1906121240142
"ENSG00000144852",2.42683193281214,2.60542927160713,9.24576138350386,3.77200021439114e-15,9.69833714516372e-13,24.0335451807938
"ENSG00000174804",-1.26146385911559,2.21526196604153,-9.24425547751268,3.80101624428784e-15,9.69833714516372e-13,24.0260642285277
"ENSG00000165556",2.82309623104978,3.54290784656249,9.207797746002,4.57571715243863e-15,1.15408001696507e-12,23.844977547756
"ENSG00000132437",2.24475825432921,4.43583399001167,9.17997309871929,5.27141578728858e-15,1.31443950705083e-12,23.7068064169161
"ENSG00000171428",1.2980811291298,3.77505650538004,9.17551373167514,5.39234051744701e-15,1.32948458398135e-12,23.6846650762014
"ENSG00000172818",1.60957645094627,2.13241651463241,9.17217467180886,5.48469564198211e-15,1.33722973857793e-12,23.6680867423669
"ENSG00000009765",1.44745210779542,1.96106211407492,9.14385918434544,6.33412855549734e-15,1.52736025157448e-12,23.527519954582
"ENSG00000130234",3.06357662511122,3.17902000880957,9.13567848858334,6.60314844389166e-15,1.56633143825578e-12,23.4869148476295
"ENSG00000065989",-1.31148044490523,2.34122695482587,-9.13462799700064,6.63850994657922e-15,1.56633143825578e-12,23.4817009152315
"ENSG00000012504",2.15603391221479,1.95982816200544,9.12455356325186,6.98738239501941e-15,1.63110778610544e-12,23.4317006797593
"ENSG00000158825",2.41518980870517,2.50467755181073,9.11843177728058,7.20825584059525e-15,1.66495534642296e-12,23.4013199571147
"ENSG00000087085",1.62947140133403,1.56054616628909,9.07202611387256,9.12558253501832e-15,2.08586101631153e-12,23.1710773076233
"ENSG00000101210",-2.14546919420994,2.23502221379859,-9.06840866127376,9.29487398965192e-15,2.10265381396837e-12,23.1531334943787
"ENSG00000178462",1.92037371858818,1.63823542331619,9.06238610533766,9.58370282919804e-15,2.14202579149407e-12,23.1232609388876
"ENSG00000106384",1.77112714255567,1.46764640190118,9.06055094594459,9.67348118643905e-15,2.14202579149407e-12,23.1141586913307
"ENSG00000155465",1.71158798582806,3.32004959179629,9.05876268396132,9.76177273615309e-15,2.14202579149407e-12,23.1052892090788
"ENSG00000254827",1.69313005028169,2.66658736680086,9.04690100127051,1.03681306325396e-14,2.25255337098829e-12,23.0464612054436
"ENSG00000116771",1.58915498100925,3.10867757314851,9.02319112697256,1.16951338184846e-14,2.51594432724518e-12,22.9288931463154
"ENSG00000173237",3.541193732144,3.16764680335451,9.01868865327036,1.19656531920721e-14,2.54914881547222e-12,22.906570353613
"ENSG00000137757",1.52207795067981,1.21002333758023,8.97534318528442,1.49114981018763e-14,3.14618271970645e-12,22.6917224124506
"ENSG00000198189",1.48615070143401,6.44634590273072,8.97267302050505,1.51149975780064e-14,3.15874658908758e-12,22.6784906531992
"ENSG00000184434",2.0884403429656,1.72918862584215,8.96217997163173,1.59418993429247e-14,3.30012355926223e-12,22.6264970891122
"ENSG00000187699",2.45459857952828,2.91538473940291,8.93137029239249,1.86399598468391e-14,3.82258541045972e-12,22.4738691743985
"ENSG00000111701",2.36486342738419,3.65848484379809,8.92171353517364,1.95759940942014e-14,3.97737072600982e-12,22.4260417545473
"ENSG00000168743",2.47924736795811,3.44508041696881,8.86269240702006,2.640746767896e-14,5.26780966617653e-12,22.1338456132025
"ENSG00000167315",1.24524176286427,6.28712116836008,8.82987066298334,3.11876028237182e-14,6.16531143027792e-12,21.9714478599977
"ENSG00000146039",1.30662761880289,1.01808466115184,8.8117209639809,3.41920310146793e-14,6.66993967589937e-12,21.8816752278772
"ENSG00000225969",2.32111051704901,3.23683969744585,8.8108214122077,3.43482287461436e-14,6.66993967589937e-12,21.8772263969434
"ENSG00000188993",1.8417206634589,2.64716133313592,8.8068112822761,3.50532499723994e-14,6.74713565038912e-12,21.8573945144558
"ENSG00000130005",-1.85071797553885,3.4838857180685,-8.7850267795947,3.91431020863736e-14,7.46884425288083e-12,21.7496791655996
"ENSG00000171431",4.5898331993474,6.50575488472959,8.78149787913583,3.98490261582478e-14,7.53799293957269e-12,21.7322332240097
"ENSG00000008517",2.07096905615965,6.2669596581103,8.72448690810597,5.31830376377711e-14,9.88979148208145e-12,21.4505059420391
"ENSG00000163618",1.76702513754383,1.69173081922503,8.68668537071181,6.43926745723993e-14,1.17747371511846e-11,21.2638332343311
"ENSG00000002726",2.54186160062173,5.38865665269477,8.67415229755285,6.8606635034353e-14,1.23396343652361e-11,21.2019654925681
"ENSG00000120093",1.82744523164016,2.19919946962638,8.67228742731527,6.92567311799018e-14,1.23552882299235e-11,21.1927608404623
"ENSG00000073605",1.32686345706487,5.94162872572169,8.60895267619391,9.53889961099296e-14,1.68800059809692e-11,20.8803125155387
"ENSG00000135111",1.90695593621696,3.11492075622695,8.60659058816205,9.65341725159558e-14,1.69459947801409e-11,20.8686658150927
"ENSG00000099617",1.77990122181918,1.71540597285345,8.59130909676014,1.04281313641951e-13,1.81606735336931e-11,20.7933286297812
"ENSG00000162989",1.41579848876243,1.40681181165313,8.47076764704332,1.91586312916027e-13,3.25889803435378e-11,20.1997579565162
"ENSG00000242515",2.18999208895678,5.49715132446454,8.45455750737336,2.07896143066351e-13,3.50912697484996e-11,20.1200342268352
"ENSG00000119686",1.3929363725824,1.50097532631901,8.42972219779588,2.35606830779503e-13,3.91660658166261e-11,19.9979380418895
"ENSG00000145384",3.82443088110175,3.00188659760422,8.41641283963615,2.51941461112007e-13,4.1566552490081e-11,19.9325300619295
"ENSG00000127831",3.43332171015817,6.2488437507008,8.41301165825971,2.56293717697862e-13,4.1969052592867e-11,19.9158178864973
"ENSG00000189325",1.12367135054043,1.82467282156033,8.39164809661554,2.85396691090321e-13,4.60474970043743e-11,19.8108705657995
"ENSG00000182600",1.15440160743579,2.0213974037897,8.35805245919059,3.37961389454891e-13,5.41305603562677e-11,19.6459242511717
"ENSG00000156413",2.2390945602735,2.86805073804992,8.34554251548382,3.59909727681576e-13,5.72282547428756e-11,19.5845322630239
"ENSG00000156510",2.31127057539843,3.2533224224968,8.34193778923276,3.66493648297824e-13,5.78559001769724e-11,19.5668451652806
"ENSG00000132970",-1.07989191731947,1.42929278882442,-8.31502429469723,4.19593727793894e-13,6.57653226355816e-11,19.4348322790019
"ENSG00000232070",2.24343543086096,2.11566595081934,8.30975665164535,4.30850511827947e-13,6.68654370268381e-11,19.4090028039116
"ENSG00000225946",1.28702579788613,0.962673668656436,8.2906464577811,4.7427256304511e-13,7.27759639922996e-11,19.3153218168699
"ENSG00000106178",2.18776470115571,2.96076694406584,8.27599975807658,5.10479615973964e-13,7.67222891323061e-11,19.2435476419971
"ENSG00000100292",1.69958525222544,3.29433353746135,8.2722886441761,5.20082605781742e-13,7.76338273378827e-11,19.225365461087
"ENSG00000234155",2.09139307710135,1.73294220488309,8.26772668225245,5.32134112604187e-13,7.88960731950924e-11,19.2030166706876
