"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000142661",-2.95351981431906,0.567489226793806,-13.4394847564971,2.57686620953857e-24,3.53401095224405e-21,44.6130576755669
"ENSG00000172318",-2.37188180730713,0.156053317482202,-12.9573790195698,2.74067728334472e-23,3.5375695075549e-20,42.314437540286
"ENSG00000148600",-2.53134436142972,0.176974189873545,-12.7577082116624,7.3454944979702e-23,8.95456587605334e-20,41.3552078949086
"ENSG00000242444",-1.06722063136343,0.129969119577246,-12.5328861439245,2.23896907650779e-22,2.58577360241108e-19,40.2703592884935
"ENSG00000213630",-1.67995294964742,0.094839850151203,-12.4618930431799,3.18641003866799e-22,3.49596977392459e-19,39.9267735765094
"ENSG00000262745",-2.29658849221414,0.370261360542029,-12.3755927200457,4.89616872663326e-22,5.11603001754827e-19,39.5084664287277
"ENSG00000257766",-2.19496193756874,0.287639965792737,-12.3371272758718,5.93056822310858e-22,5.91520265998508e-19,39.3217978792778
"ENSG00000169860",-2.88063118191169,0.812254566992944,-12.3210459035844,6.42558764708436e-22,6.13028998869444e-19,39.2437166043041
"ENSG00000066405",7.96046662876022,8.59652919572301,12.0976607567147,1.96113621665505e-21,1.79305050008591e-18,38.1567068190127
"ENSG00000138669",-1.96732076051115,0.600492621903146,-12.0371986506622,2.65441719810629e-21,2.32983506312185e-18,37.8617485422012
"ENSG00000230234",-1.37625032216842,0.142570372975657,-11.8785590476396,5.88132173528315e-21,4.96360933989685e-18,37.0863994215321
"ENSG00000085563",-5.79348009986751,1.43953823080621,-11.7471522474068,1.13835999582087e-20,9.25149384751756e-18,36.442630311581
"ENSG00000244649",-2.94296236554086,0.615138444317835,-11.6885411565077,1.52887931109171e-20,1.19814995440305e-17,36.155065626902
"ENSG00000182271",-3.36791770810799,0.236417499033124,-11.5389168911598,3.24960543831404e-20,2.45883076320431e-17,35.419822667436
"ENSG00000163993",8.24737102892119,9.16975702052041,11.4086636448784,6.27193344697569e-20,4.58750118756625e-17,34.7784988910315
"ENSG00000016602",-4.1446732945872,0.558157275657434,-11.3274367488331,9.45607766974499e-20,6.69337781636175e-17,34.3779999746912
"ENSG00000225953",-1.28448676060348,0.11338230924415,-11.2359641915408,1.50213302003738e-19,1.03004077683376e-16,33.9264909378831
"ENSG00000120068",-2.84142047687006,0.55915516488916,-11.2122319825798,1.69390535113642e-19,1.12634439757534e-16,33.8092664256837
"ENSG00000148483",-2.69615754014971,0.350290662130585,-11.1532856406346,2.2832455930875e-19,1.47356641320938e-16,33.5179612150901
"ENSG00000164946",-2.53384930890227,0.60266208211191,-10.8910404261557,8.63597383836594e-19,5.26386594264622e-16,32.2197079656732
"ENSG00000119042",-2.98932912236343,1.16331817190273,-10.8031215101371,1.34990930761531e-18,8.00569187486559e-16,31.783711336795
"ENSG00000165548",-1.24261686387128,0.282964196227984,-10.7593790236097,1.68605595304739e-18,9.73608573097866e-16,31.5666632018871
"ENSG00000162670",-2.71139268192897,0.282105115321308,-10.7444456766229,1.81905789347929e-18,1.02347659888759e-15,31.492546367978
"ENSG00000145832",-1.77106656084775,0.490415701102456,-10.7338757819647,1.91950042828795e-18,1.05298994744806e-15,31.4400806211916
"ENSG00000168229",-1.70182528580144,0.275651552730095,-10.7270212657461,1.98758683500368e-18,1.06374677854843e-15,31.4060544758359
"ENSG00000203859",-2.81926627017943,0.288603758396128,-10.5207068905979,5.67913071292479e-18,2.96707536270735e-15,30.3810816840016
"ENSG00000170231",-6.78042660924313,1.73010959461786,-10.4266596379036,9.16867258517383e-18,4.67879494270859e-15,29.9133899164832
"ENSG00000184719",-3.23650022917386,0.950806374801334,-10.3291270059432,1.50708158303455e-17,7.51588435830164e-15,29.4281136657012
"ENSG00000182747",-1.18291752497001,0.259407633044942,-10.2815325662715,1.92083070241938e-17,9.36639735626408e-15,29.1912257327032
"ENSG00000184040",-2.8533724999921,0.457161131967529,-10.2122515351767,2.73448598345269e-17,1.3044092594544e-14,28.8463180707158
"ENSG00000125255",-4.00705040159774,0.407225047813105,-10.0904065753234,5.08986028027959e-17,2.34738906632135e-14,28.2395390148542
"ENSG00000245694",3.53936650106858,4.04823840897948,10.0886798197728,5.13488015236863e-17,2.34738906632135e-14,28.2309385114819
"ENSG00000113319",-2.44371173733217,0.683170563937302,-10.0789565939573,5.3959224490342e-17,2.41638216937056e-14,28.1825091475531
"ENSG00000256643",-1.25912760090651,0.0922553255974324,-10.0469213984418,6.35361317411433e-17,2.78834667759181e-14,28.0229417813159
"ENSG00000153250",3.12872994319127,3.73033082025698,10.0305614799328,6.90649472218453e-17,2.97155320958618e-14,27.9414494049779
"ENSG00000040199",-2.75672572080271,1.78703715027259,-10.0258703255333,7.07373247895763e-17,2.98497907280322e-14,27.9180813224495
"ENSG00000119227",-2.54322969283092,2.16533928201125,-9.91566557677908,1.24097658967432e-16,5.04273135318957e-14,27.3690800390492
"ENSG00000259347",-1.54330500507404,0.319682358233427,-9.88659279022621,1.43934236522479e-16,5.7424526400232e-14,27.2242426904333
"ENSG00000226453",-1.39424463531699,0.520095710113408,-9.7819809936243,2.45406882874052e-16,9.44730391386899e-14,26.7030845735838
"ENSG00000255639",-1.88666339571938,0.387649922221004,-9.7698548910244,2.61063019366783e-16,9.87673419649193e-14,26.6426768700312
"ENSG00000197408",-3.30025468351269,0.815012733979135,-9.75328585514271,2.84082218379733e-16,1.05654510472991e-13,26.5601375422152
"ENSG00000228113",-1.36645394938338,0.427530734274805,-9.6913787408257,3.89540306484395e-16,1.42312172793352e-13,26.2517631553029
"ENSG00000100373",-1.99417980479632,0.325551751636418,-9.68834275621349,3.95617852636124e-16,1.42312172793352e-13,26.2366410749384
